year,month,projectname,timelog
2021,Nov,Project Gamma,9014
2021,Nov,Project Iota,12202
2021,Nov,Project Kappa,11522
2021,Nov,Project Theta,13251
2021,Nov,Project Zeta,9308
2021,Oct,Project Alpha,11914
2021,Oct,Project Beta,11942
2021,Oct,Project Delta,12018
2021,Oct,Project Epsilon,13102
2021,Oct,Project Eta,11785
2021,Oct,Project Gamma,13979
2021,Oct,Project Iota,14617
2021,Oct,Project Kappa,11164
2021,Oct,Project Theta,11137
2021,Oct,Project Zeta,13743
2021,Sep,Project Alpha,9910
2021,Sep,Project Beta,12607
2021,Sep,Project Delta,10536
2021,Sep,Project Epsilon,11461
2021,Sep,Project Eta,11949
2021,Sep,Project Gamma,13463
2021,Sep,Project Iota,12771
2021,Sep,Project Kappa,14009
2021,Sep,Project Theta,11406
2021,Sep,Project Zeta,13305
2022,Apr,Project Alpha,12940
2022,Apr,Project Beta,12786
2022,Apr,Project Delta,10259
2022,Apr,Project Epsilon,12658
2022,Apr,Project Eta,13200
2022,Apr,Project Gamma,10084
2022,Apr,Project Iota,14557
2022,Apr,Project Kappa,13273
2022,Apr,Project Theta,11027
2022,Apr,Project Zeta,10901
2022,Aug,Project Alpha,12176
2022,Aug,Project Beta,13203
2022,Aug,Project Delta,9652
2022,Aug,Project Epsilon,10176
2022,Aug,Project Eta,14480
2022,Aug,Project Gamma,13915
2022,Aug,Project Iota,12458
2022,Aug,Project Kappa,14989
2022,Aug,Project Theta,13223
2022,Aug,Project Zeta,15889
2022,Dec,Project Alpha,12813
2022,Dec,Project Beta,11218
2022,Dec,Project Delta,14095
2022,Dec,Project Epsilon,12800
2022,Dec,Project Eta,11807
2022,Dec,Project Gamma,11347
2022,Dec,Project Iota,15350
2022,Dec,Project Kappa,15694
2022,Dec,Project Theta,11822
2022,Dec,Project Zeta,11964
2022,Feb,Project Alpha,13693
2022,Feb,Project Beta,10452
2022,Feb,Project Delta,10305
2022,Feb,Project Epsilon,11843
2022,Feb,Project Eta,13065
2022,Feb,Project Gamma,12003
2022,Feb,Project Iota,10807
2022,Feb,Project Kappa,12476
2022,Feb,Project Theta,9295
2022,Feb,Project Zeta,10489
2022,Jan,Project Alpha,11138
2022,Jan,Project Beta,13172
2022,Jan,Project Delta,12055
2022,Jan,Project Epsilon,13486
2022,Jan,Project Eta,12135
2022,Jan,Project Gamma,12535
2022,Jan,Project Iota,15135
2022,Jan,Project Kappa,13064
2022,Jan,Project Theta,12581
2022,Jan,Project Zeta,9866
2022,Jul,Project Alpha,14466
2022,Jul,Project Beta,13360
2022,Jul,Project Delta,12183
2022,Jul,Project Epsilon,11382
2022,Jul,Project Eta,12574
2022,Jul,Project Gamma,10898
2022,Jul,Project Iota,14374
2022,Jul,Project Kappa,12531
2022,Jul,Project Theta,12900
2022,Jul,Project Zeta,12048
2022,Jun,Project Alpha,12794
2022,Jun,Project Beta,12920
2022,Jun,Project Delta,13154
2022,Jun,Project Epsilon,17169
2022,Jun,Project Eta,14051
2022,Jun,Project Gamma,10850
2022,Jun,Project Iota,12287
2022,Jun,Project Kappa,8399
2022,Jun,Project Theta,13946
2022,Jun,Project Zeta,13707
2022,Mar,Project Alpha,13804
2022,Mar,Project Beta,10650
2022,Mar,Project Delta,12631
2022,Mar,Project Epsilon,14318
2022,Mar,Project Eta,11390
2022,Mar,Project Gamma,15226
2022,Mar,Project Iota,13475
2022,Mar,Project Kappa,12264
2022,Mar,Project Theta,11743
2022,Mar,Project Zeta,12265
2022,May,Project Alpha,13299
2022,May,Project Beta,12077
2022,May,Project Delta,12925
2022,May,Project Epsilon,10046
2022,May,Project Eta,16339
2022,May,Project Gamma,13376
2022,May,Project Iota,12868
2022,May,Project Kappa,12134
2022,May,Project Theta,14138
2022,May,Project Zeta,12726
2022,Nov,Project Alpha,11108
2022,Nov,Project Beta,10927
2022,Nov,Project Delta,11273
2022,Nov,Project Epsilon,12957
2022,Nov,Project Eta,13069
2022,Nov,Project Gamma,14273
2022,Nov,Project Iota,12222
2022,Nov,Project Kappa,11804
2022,Nov,Project Theta,11291
2022,Nov,Project Zeta,13916
2022,Oct,Project Alpha,15209
2022,Oct,Project Beta,12099
2022,Oct,Project Delta,14151
2022,Oct,Project Epsilon,11078
2022,Oct,Project Eta,12155
2022,Oct,Project Gamma,13667
2022,Oct,Project Iota,12503
2022,Oct,Project Kappa,13895
2022,Oct,Project Theta,12908
2022,Oct,Project Zeta,10924
2022,Sep,Project Alpha,14367
2022,Sep,Project Beta,12848
2022,Sep,Project Delta,12269
2022,Sep,Project Epsilon,11771
2022,Sep,Project Eta,13307
2022,Sep,Project Gamma,12688
2022,Sep,Project Iota,9876
2022,Sep,Project Kappa,12715
2022,Sep,Project Theta,11630
2022,Sep,Project Zeta,12213
2023,Apr,Project Alpha,11465
2023,Apr,Project Beta,14478
2023,Apr,Project Delta,11446
2023,Apr,Project Epsilon,10088
2023,Apr,Project Eta,11385
2023,Apr,Project Gamma,14293
2023,Apr,Project Iota,10912
2023,Apr,Project Kappa,12417
2023,Apr,Project Theta,11916
2023,Apr,Project Zeta,10659
2023,Aug,Project Alpha,9058
2023,Aug,Project Beta,13567
2023,Aug,Project Delta,12912
2023,Aug,Project Epsilon,12784
2023,Aug,Project Eta,13231
2023,Aug,Project Gamma,13011
2023,Aug,Project Iota,11293
2023,Aug,Project Kappa,11208
2023,Aug,Project Theta,14295
2023,Aug,Project Zeta,14025
2023,Dec,Project Alpha,12483
2023,Dec,Project Beta,14245
2023,Dec,Project Delta,11557
2023,Dec,Project Epsilon,10648
2023,Dec,Project Eta,14779
2023,Dec,Project Gamma,13313
2023,Dec,Project Iota,15722
2023,Dec,Project Kappa,13598
2023,Dec,Project Theta,11347
2023,Dec,Project Zeta,11861
2023,Feb,Project Alpha,12190
2023,Feb,Project Beta,9347
2023,Feb,Project Delta,14233
2023,Feb,Project Epsilon,11021
2023,Feb,Project Eta,12968
2023,Feb,Project Gamma,11732
2023,Feb,Project Iota,11113
2023,Feb,Project Kappa,12388
2023,Feb,Project Theta,11831
2023,Feb,Project Zeta,11760
2023,Jan,Project Alpha,10685
2023,Jan,Project Beta,13773
2023,Jan,Project Delta,12334
2023,Jan,Project Epsilon,15101
2023,Jan,Project Eta,11238
2023,Jan,Project Gamma,13813
2023,Jan,Project Iota,11486
2023,Jan,Project Kappa,13531
2023,Jan,Project Theta,12291
2023,Jan,Project Zeta,11731
2023,Jul,Project Alpha,11648
2023,Jul,Project Beta,15519
2023,Jul,Project Delta,10917
2023,Jul,Project Epsilon,14650
2023,Jul,Project Eta,11911
2023,Jul,Project Gamma,13610
2023,Jul,Project Iota,13848
2023,Jul,Project Kappa,10650
2023,Jul,Project Theta,17039
2023,Jul,Project Zeta,11780
2023,Jun,Project Alpha,11021
2023,Jun,Project Beta,14325
2023,Jun,Project Delta,12948
2023,Jun,Project Epsilon,11853
2023,Jun,Project Eta,12980
2023,Jun,Project Gamma,10969
2023,Jun,Project Iota,9788
2023,Jun,Project Kappa,13041
2023,Jun,Project Theta,13118
2023,Jun,Project Zeta,9111
2023,Mar,Project Alpha,13789
2023,Mar,Project Beta,13108
2023,Mar,Project Delta,11361
2023,Mar,Project Epsilon,9448
2023,Mar,Project Eta,12879
2023,Mar,Project Gamma,13913
2023,Mar,Project Iota,13769
2023,Mar,Project Kappa,11838
2023,Mar,Project Theta,14097
2023,Mar,Project Zeta,9349
2023,May,Project Alpha,15213
2023,May,Project Beta,14973
2023,May,Project Delta,13274
2023,May,Project Epsilon,11090
2023,May,Project Eta,15671
2023,May,Project Gamma,13566
2023,May,Project Iota,12669
2023,May,Project Kappa,10498
2023,May,Project Theta,15165
2023,May,Project Zeta,12503
2023,Nov,Project Alpha,9994
2023,Nov,Project Beta,10515
2023,Nov,Project Delta,12903
2023,Nov,Project Epsilon,13664
2023,Nov,Project Eta,13130
2023,Nov,Project Gamma,14600
2023,Nov,Project Iota,13013
2023,Nov,Project Kappa,11674
2023,Nov,Project Theta,11275
2023,Nov,Project Zeta,9582
2023,Oct,Project Alpha,12057
2023,Oct,Project Beta,12353
2023,Oct,Project Delta,14904
2023,Oct,Project Epsilon,15089
2023,Oct,Project Eta,14641
2023,Oct,Project Gamma,12083
2023,Oct,Project Iota,11777
2023,Oct,Project Kappa,9752
2023,Oct,Project Theta,11348
2023,Oct,Project Zeta,12919
2023,Sep,Project Alpha,10306
2023,Sep,Project Beta,11224
2023,Sep,Project Delta,12466
2023,Sep,Project Epsilon,13971
2023,Sep,Project Eta,12680
2023,Sep,Project Gamma,10334
2023,Sep,Project Iota,15306
2023,Sep,Project Kappa,14195
2023,Sep,Project Theta,12577
2023,Sep,Project Zeta,13042
2024,Apr,Project Alpha,11975
2024,Apr,Project Beta,10494
2024,Apr,Project Delta,9919
2024,Apr,Project Epsilon,12990
2024,Apr,Project Eta,13023
2024,Apr,Project Gamma,11789
2024,Apr,Project Iota,14356
2024,Apr,Project Kappa,13904
2024,Apr,Project Theta,11907
2024,Apr,Project Zeta,12554
2024,Aug,Project Alpha,14604
2024,Aug,Project Beta,14933
2024,Aug,Project Delta,16599
2024,Aug,Project Epsilon,12910
2024,Aug,Project Eta,12051
2024,Aug,Project Gamma,14262
2024,Aug,Project Iota,10523
2024,Aug,Project Kappa,9343
2024,Aug,Project Theta,10131
2024,Aug,Project Zeta,13957
2024,Dec,Project Alpha,11389
2024,Dec,Project Beta,10493
2024,Dec,Project Delta,11415
2024,Dec,Project Epsilon,13769
2024,Dec,Project Eta,11367
2024,Dec,Project Gamma,11942
2024,Dec,Project Iota,14188
2024,Dec,Project Kappa,11853
2024,Dec,Project Theta,15879
2024,Dec,Project Zeta,12949
2024,Feb,Project Alpha,10901
2024,Feb,Project Beta,12021
2024,Feb,Project Delta,9088
2024,Feb,Project Epsilon,10952
2024,Feb,Project Eta,12128
2024,Feb,Project Gamma,12057
2024,Feb,Project Iota,11690
2024,Feb,Project Kappa,12444
2024,Feb,Project Theta,11727
2024,Feb,Project Zeta,9911
2024,Jan,Project Alpha,11016
2024,Jan,Project Beta,9331
2024,Jan,Project Delta,11953
2024,Jan,Project Epsilon,10638
2024,Jan,Project Eta,12356
2024,Jan,Project Gamma,13481
2024,Jan,Project Iota,11980
2024,Jan,Project Kappa,15509
2024,Jan,Project Theta,13955
2024,Jan,Project Zeta,12822
2024,Jul,Project Alpha,14511
2024,Jul,Project Beta,13121
2024,Jul,Project Delta,11446
2024,Jul,Project Epsilon,12820
2024,Jul,Project Eta,14479
2024,Jul,Project Gamma,12975
2024,Jul,Project Iota,12647
2024,Jul,Project Kappa,12148
2024,Jul,Project Theta,13460
2024,Jul,Project Zeta,10645
2024,Jun,Project Alpha,11408
2024,Jun,Project Beta,12744
2024,Jun,Project Delta,13808
2024,Jun,Project Epsilon,9134
2024,Jun,Project Eta,11380
2024,Jun,Project Gamma,12414
2024,Jun,Project Iota,9642
2024,Jun,Project Kappa,10760
2024,Jun,Project Theta,15380
2024,Jun,Project Zeta,10188
2024,Mar,Project Alpha,12821
2024,Mar,Project Beta,11602
2024,Mar,Project Delta,10346
2024,Mar,Project Epsilon,14527
2024,Mar,Project Eta,13799
2024,Mar,Project Gamma,12238
2024,Mar,Project Iota,15400
2024,Mar,Project Kappa,12451
2024,Mar,Project Theta,11671
2024,Mar,Project Zeta,16305
2024,May,Project Alpha,12901
2024,May,Project Beta,14350
2024,May,Project Delta,10900
2024,May,Project Epsilon,12483
2024,May,Project Eta,10712
2024,May,Project Gamma,14600
2024,May,Project Iota,11812
2024,May,Project Kappa,12543
2024,May,Project Theta,12498
2024,May,Project Zeta,11665
2024,Nov,Project Alpha,12511
2024,Nov,Project Beta,12105
2024,Nov,Project Delta,10452
2024,Nov,Project Epsilon,15036
2024,Nov,Project Eta,13383
2024,Nov,Project Gamma,10984
2024,Nov,Project Iota,12010
2024,Nov,Project Kappa,11851
2024,Nov,Project Theta,10040
2024,Nov,Project Zeta,12415
2024,Oct,Project Alpha,12243
2024,Oct,Project Beta,13099
2024,Oct,Project Delta,12620
2024,Oct,Project Epsilon,13936
2024,Oct,Project Eta,15421
2024,Oct,Project Gamma,14827
2024,Oct,Project Iota,10754
2024,Oct,Project Kappa,11627
2024,Oct,Project Theta,12791
2024,Oct,Project Zeta,11765
2024,Sep,Project Alpha,9264
2024,Sep,Project Beta,13875
2024,Sep,Project Delta,13597
2024,Sep,Project Epsilon,10982
2024,Sep,Project Eta,11398
2024,Sep,Project Gamma,12844
2024,Sep,Project Iota,13847
2024,Sep,Project Kappa,9949
2024,Sep,Project Theta,13714
2024,Sep,Project Zeta,11917
