username,date,year,month,projectid,projectname,timelog
user21,2020-01-07,2020,1,4,Project Delta,40
user22,2020-01-07,2020,1,7,Project Eta,11
user23,2020-01-07,2020,1,5,Project Epsilon,223
user24,2020-01-07,2020,1,1,Project Alpha,35
user27,2020-01-07,2020,1,8,Project Theta,264
user28,2020-01-07,2020,1,6,Project Zeta,33
user29,2020-01-07,2020,1,7,Project Eta,18
user30,2020-01-07,2020,1,8,Project Theta,114
user33,2020-01-07,2020,1,5,Project Epsilon,233
user34,2020-01-07,2020,1,6,Project Zeta,34
user35,2020-01-07,2020,1,3,Project Gamma,157
user36,2020-01-07,2020,1,9,Project Iota,41
user38,2020-01-07,2020,1,8,Project Theta,105
user39,2020-01-07,2020,1,9,Project Iota,55
user40,2020-01-07,2020,1,6,Project Zeta,112
user42,2020-01-07,2020,1,3,Project Gamma,123
user44,2020-01-07,2020,1,9,Project Iota,171
user48,2020-01-07,2020,1,2,Project Beta,30
user50,2020-01-07,2020,1,4,Project Delta,80
user2,2020-01-08,2020,1,2,Project Beta,29
user4,2020-01-08,2020,1,1,Project Alpha,86
user5,2020-01-08,2020,1,4,Project Delta,150
user6,2020-01-08,2020,1,4,Project Delta,235
user7,2020-01-08,2020,1,3,Project Gamma,11
user8,2020-01-08,2020,1,6,Project Zeta,53
user10,2020-01-08,2020,1,9,Project Iota,22
user11,2020-01-08,2020,1,1,Project Alpha,27
user12,2020-01-08,2020,1,4,Project Delta,248
user13,2020-01-08,2020,1,3,Project Gamma,25
user14,2020-01-08,2020,1,6,Project Zeta,58
user16,2020-01-08,2020,1,7,Project Eta,14
user17,2020-01-08,2020,1,1,Project Alpha,275
user19,2020-01-08,2020,1,9,Project Iota,62
user20,2020-01-08,2020,1,1,Project Alpha,321
user21,2020-01-08,2020,1,9,Project Iota,166
user22,2020-01-08,2020,1,4,Project Delta,42
user24,2020-01-08,2020,1,8,Project Theta,271
user25,2020-01-08,2020,1,4,Project Delta,150
user26,2020-01-08,2020,1,7,Project Eta,27
user27,2020-01-08,2020,1,4,Project Delta,151
user28,2020-01-08,2020,1,6,Project Zeta,15
user32,2020-01-08,2020,1,3,Project Gamma,118
user33,2020-01-08,2020,1,7,Project Eta,159
user35,2020-01-08,2020,1,8,Project Theta,159
user36,2020-01-08,2020,1,8,Project Theta,42
user37,2020-01-08,2020,1,10,Project Kappa,54
user38,2020-01-08,2020,1,5,Project Epsilon,24
user39,2020-01-08,2020,1,6,Project Zeta,85
user41,2020-01-08,2020,1,7,Project Eta,76
user43,2020-01-08,2020,1,3,Project Gamma,124
user44,2020-01-08,2020,1,9,Project Iota,118
user45,2020-01-08,2020,1,6,Project Zeta,163
user46,2020-01-08,2020,1,4,Project Delta,121
user47,2020-01-08,2020,1,5,Project Epsilon,63
user48,2020-01-08,2020,1,1,Project Alpha,94
user50,2020-01-08,2020,1,4,Project Delta,26
user2,2020-01-09,2020,1,6,Project Zeta,248
user4,2020-01-09,2020,1,9,Project Iota,232
user6,2020-01-09,2020,1,5,Project Epsilon,41
user7,2020-01-09,2020,1,10,Project Kappa,99
user8,2020-01-09,2020,1,2,Project Beta,154
user9,2020-01-09,2020,1,6,Project Zeta,150
user10,2020-01-09,2020,1,6,Project Zeta,11
user12,2020-01-09,2020,1,2,Project Beta,144
user14,2020-01-09,2020,1,3,Project Gamma,20
user15,2020-01-09,2020,1,10,Project Kappa,119
user16,2020-01-09,2020,1,6,Project Zeta,25
user17,2020-01-09,2020,1,4,Project Delta,20
user18,2020-01-09,2020,1,3,Project Gamma,140
user19,2020-01-09,2020,1,5,Project Epsilon,49
user20,2020-01-09,2020,1,10,Project Kappa,22
user21,2020-01-09,2020,1,5,Project Epsilon,291
user22,2020-01-09,2020,1,10,Project Kappa,33
user25,2020-01-09,2020,1,9,Project Iota,47
user26,2020-01-09,2020,1,7,Project Eta,162
user27,2020-01-09,2020,1,6,Project Zeta,226
user28,2020-01-09,2020,1,4,Project Delta,67
user30,2020-01-09,2020,1,1,Project Alpha,88
user31,2020-01-09,2020,1,2,Project Beta,33
user32,2020-01-09,2020,1,8,Project Theta,85
user33,2020-01-09,2020,1,7,Project Eta,208
user34,2020-01-09,2020,1,3,Project Gamma,14
user35,2020-01-09,2020,1,4,Project Delta,42
user36,2020-01-09,2020,1,5,Project Epsilon,271
user37,2020-01-09,2020,1,9,Project Iota,28
user40,2020-01-09,2020,1,9,Project Iota,221
user43,2020-01-09,2020,1,8,Project Theta,203
user44,2020-01-09,2020,1,9,Project Iota,111
user45,2020-01-09,2020,1,8,Project Theta,38
user47,2020-01-09,2020,1,10,Project Kappa,291
user50,2020-01-09,2020,1,10,Project Kappa,61
user1,2020-01-10,2020,1,1,Project Alpha,129
user2,2020-01-10,2020,1,6,Project Zeta,160
user4,2020-01-10,2020,1,5,Project Epsilon,146
user5,2020-01-10,2020,1,9,Project Iota,235
user6,2020-01-10,2020,1,1,Project Alpha,27
user7,2020-01-10,2020,1,8,Project Theta,20
user8,2020-01-10,2020,1,1,Project Alpha,33
user9,2020-01-10,2020,1,9,Project Iota,256
user10,2020-01-10,2020,1,10,Project Kappa,152
user17,2020-01-10,2020,1,9,Project Iota,258
user18,2020-01-10,2020,1,5,Project Epsilon,128
user19,2020-01-10,2020,1,2,Project Beta,39
user20,2020-01-10,2020,1,3,Project Gamma,139
user21,2020-01-10,2020,1,4,Project Delta,48
user22,2020-01-10,2020,1,4,Project Delta,108
user23,2020-01-10,2020,1,10,Project Kappa,64
user24,2020-01-10,2020,1,5,Project Epsilon,126
user25,2020-01-10,2020,1,5,Project Epsilon,241
user26,2020-01-10,2020,1,4,Project Delta,194
user27,2020-01-10,2020,1,10,Project Kappa,160
user28,2020-01-10,2020,1,4,Project Delta,52
user29,2020-01-10,2020,1,10,Project Kappa,89
user30,2020-01-10,2020,1,7,Project Eta,13
user32,2020-01-10,2020,1,6,Project Zeta,162
user36,2020-01-10,2020,1,4,Project Delta,34
user39,2020-01-10,2020,1,1,Project Alpha,35
user40,2020-01-10,2020,1,1,Project Alpha,240
user41,2020-01-10,2020,1,9,Project Iota,156
user43,2020-01-10,2020,1,9,Project Iota,40
user44,2020-01-10,2020,1,9,Project Iota,239
user46,2020-01-10,2020,1,2,Project Beta,305
user47,2020-01-10,2020,1,6,Project Zeta,214
user48,2020-01-10,2020,1,10,Project Kappa,57
user1,2020-01-11,2020,1,2,Project Beta,204
user4,2020-01-11,2020,1,9,Project Iota,23
user5,2020-01-11,2020,1,4,Project Delta,34
user8,2020-01-11,2020,1,8,Project Theta,228
user9,2020-01-11,2020,1,9,Project Iota,166
user10,2020-01-11,2020,1,5,Project Epsilon,25
user13,2020-01-11,2020,1,10,Project Kappa,74
user14,2020-01-11,2020,1,4,Project Delta,263
user15,2020-01-11,2020,1,1,Project Alpha,116
user16,2020-01-11,2020,1,1,Project Alpha,83
user18,2020-01-11,2020,1,4,Project Delta,82
user19,2020-01-11,2020,1,2,Project Beta,109
user21,2020-01-11,2020,1,3,Project Gamma,48
user22,2020-01-11,2020,1,4,Project Delta,126
user24,2020-01-11,2020,1,10,Project Kappa,233
user25,2020-01-11,2020,1,5,Project Epsilon,22
user27,2020-01-11,2020,1,6,Project Zeta,41
user29,2020-01-11,2020,1,8,Project Theta,204
user30,2020-01-11,2020,1,4,Project Delta,13
user31,2020-01-11,2020,1,8,Project Theta,53
user32,2020-01-11,2020,1,5,Project Epsilon,99
user33,2020-01-11,2020,1,5,Project Epsilon,39
user34,2020-01-11,2020,1,2,Project Beta,305
user35,2020-01-11,2020,1,5,Project Epsilon,13
user36,2020-01-11,2020,1,7,Project Eta,18
user39,2020-01-11,2020,1,4,Project Delta,121
user40,2020-01-11,2020,1,7,Project Eta,21
user41,2020-01-11,2020,1,9,Project Iota,87
user42,2020-01-11,2020,1,9,Project Iota,110
user43,2020-01-11,2020,1,5,Project Epsilon,46
user44,2020-01-11,2020,1,8,Project Theta,56
user45,2020-01-11,2020,1,9,Project Iota,93
user46,2020-01-11,2020,1,8,Project Theta,24
user47,2020-01-11,2020,1,3,Project Gamma,50
user49,2020-01-11,2020,1,6,Project Zeta,265
user1,2020-01-12,2020,1,6,Project Zeta,110
user2,2020-01-12,2020,1,1,Project Alpha,46
user4,2020-01-12,2020,1,7,Project Eta,11
user5,2020-01-12,2020,1,2,Project Beta,95
user6,2020-01-12,2020,1,5,Project Epsilon,84
user7,2020-01-12,2020,1,9,Project Iota,217
user8,2020-01-12,2020,1,9,Project Iota,126
user10,2020-01-12,2020,1,2,Project Beta,193
user11,2020-01-12,2020,1,6,Project Zeta,150
user13,2020-01-12,2020,1,4,Project Delta,166
user14,2020-01-12,2020,1,7,Project Eta,55
user15,2020-01-12,2020,1,4,Project Delta,26
user18,2020-01-12,2020,1,6,Project Zeta,27
user19,2020-01-12,2020,1,1,Project Alpha,12
user20,2020-01-12,2020,1,10,Project Kappa,41
user21,2020-01-12,2020,1,8,Project Theta,151
user23,2020-01-12,2020,1,9,Project Iota,92
user24,2020-01-12,2020,1,9,Project Iota,47
user26,2020-01-12,2020,1,4,Project Delta,45
user27,2020-01-12,2020,1,9,Project Iota,167
user28,2020-01-12,2020,1,10,Project Kappa,85
user30,2020-01-12,2020,1,2,Project Beta,48
user31,2020-01-12,2020,1,4,Project Delta,317
user33,2020-01-12,2020,1,2,Project Beta,29
user34,2020-01-12,2020,1,6,Project Zeta,197
user35,2020-01-12,2020,1,3,Project Gamma,101
user36,2020-01-12,2020,1,10,Project Kappa,12
user38,2020-01-12,2020,1,4,Project Delta,128
user39,2020-01-12,2020,1,8,Project Theta,122
user40,2020-01-12,2020,1,6,Project Zeta,39
user41,2020-01-12,2020,1,1,Project Alpha,116
user42,2020-01-12,2020,1,2,Project Beta,274
user45,2020-01-12,2020,1,5,Project Epsilon,28
user47,2020-01-12,2020,1,4,Project Delta,100
user48,2020-01-12,2020,1,8,Project Theta,43
user49,2020-01-12,2020,1,6,Project Zeta,21
user50,2020-01-12,2020,1,9,Project Iota,204
user1,2020-01-13,2020,1,2,Project Beta,79
user2,2020-01-13,2020,1,4,Project Delta,53
user3,2020-01-13,2020,1,7,Project Eta,95
user4,2020-01-13,2020,1,2,Project Beta,13
user5,2020-01-13,2020,1,4,Project Delta,107
user6,2020-01-13,2020,1,9,Project Iota,34
user10,2020-01-13,2020,1,1,Project Alpha,38
user11,2020-01-13,2020,1,7,Project Eta,221
user13,2020-01-13,2020,1,1,Project Alpha,108
user15,2020-01-13,2020,1,3,Project Gamma,249
user16,2020-01-13,2020,1,2,Project Beta,67
user17,2020-01-13,2020,1,6,Project Zeta,24
user19,2020-01-13,2020,1,10,Project Kappa,30
user20,2020-01-13,2020,1,10,Project Kappa,43
user21,2020-01-13,2020,1,8,Project Theta,257
user22,2020-01-13,2020,1,4,Project Delta,15
user23,2020-01-13,2020,1,4,Project Delta,180
user25,2020-01-13,2020,1,8,Project Theta,204
user26,2020-01-13,2020,1,7,Project Eta,50
user27,2020-01-13,2020,1,5,Project Epsilon,45
user28,2020-01-13,2020,1,7,Project Eta,254
user29,2020-01-13,2020,1,2,Project Beta,24
user30,2020-01-13,2020,1,2,Project Beta,22
user31,2020-01-13,2020,1,8,Project Theta,136
user32,2020-01-13,2020,1,6,Project Zeta,241
user33,2020-01-13,2020,1,2,Project Beta,101
user34,2020-01-13,2020,1,5,Project Epsilon,13
user35,2020-01-13,2020,1,10,Project Kappa,150
user36,2020-01-13,2020,1,1,Project Alpha,238
user37,2020-01-13,2020,1,8,Project Theta,85
user38,2020-01-13,2020,1,7,Project Eta,270
user40,2020-01-13,2020,1,2,Project Beta,51
user41,2020-01-13,2020,1,10,Project Kappa,24
user42,2020-01-13,2020,1,2,Project Beta,245
user43,2020-01-13,2020,1,8,Project Theta,60
user45,2020-01-13,2020,1,4,Project Delta,276
user46,2020-01-13,2020,1,10,Project Kappa,18
user47,2020-01-13,2020,1,4,Project Delta,51
user48,2020-01-13,2020,1,7,Project Eta,299
user49,2020-01-13,2020,1,4,Project Delta,95
user50,2020-01-13,2020,1,5,Project Epsilon,98
user1,2020-01-14,2020,1,7,Project Eta,89
user2,2020-01-14,2020,1,7,Project Eta,26
user3,2020-01-14,2020,1,4,Project Delta,28
user4,2020-01-14,2020,1,9,Project Iota,131
user6,2020-01-14,2020,1,1,Project Alpha,50
user9,2020-01-14,2020,1,1,Project Alpha,30
user12,2020-01-14,2020,1,2,Project Beta,193
user13,2020-01-14,2020,1,4,Project Delta,21
user14,2020-01-14,2020,1,6,Project Zeta,23
user15,2020-01-14,2020,1,9,Project Iota,313
user16,2020-01-14,2020,1,10,Project Kappa,222
user17,2020-01-14,2020,1,4,Project Delta,254
user19,2020-01-14,2020,1,1,Project Alpha,208
user20,2020-01-14,2020,1,2,Project Beta,146
user21,2020-01-14,2020,1,9,Project Iota,215
user23,2020-01-14,2020,1,10,Project Kappa,28
user24,2020-01-14,2020,1,8,Project Theta,297
user27,2020-01-14,2020,1,4,Project Delta,35
user28,2020-01-14,2020,1,9,Project Iota,18
user31,2020-01-14,2020,1,5,Project Epsilon,16
user32,2020-01-14,2020,1,1,Project Alpha,21
user34,2020-01-14,2020,1,8,Project Theta,46
user35,2020-01-14,2020,1,4,Project Delta,37
user36,2020-01-14,2020,1,4,Project Delta,55
user38,2020-01-14,2020,1,4,Project Delta,30
user39,2020-01-14,2020,1,8,Project Theta,85
user40,2020-01-14,2020,1,9,Project Iota,31
user41,2020-01-14,2020,1,6,Project Zeta,18
user42,2020-01-14,2020,1,2,Project Beta,23
user43,2020-01-14,2020,1,6,Project Zeta,89
user44,2020-01-14,2020,1,1,Project Alpha,214
user46,2020-01-14,2020,1,2,Project Beta,168
user48,2020-01-14,2020,1,9,Project Iota,18
user50,2020-01-14,2020,1,8,Project Theta,70
user1,2020-01-15,2020,1,4,Project Delta,272
user2,2020-01-15,2020,1,6,Project Zeta,127
user3,2020-01-15,2020,1,9,Project Iota,84
user4,2020-01-15,2020,1,10,Project Kappa,92
user7,2020-01-15,2020,1,7,Project Eta,173
user8,2020-01-15,2020,1,4,Project Delta,67
user10,2020-01-15,2020,1,7,Project Eta,70
user11,2020-01-15,2020,1,10,Project Kappa,295
user13,2020-01-15,2020,1,3,Project Gamma,20
user15,2020-01-15,2020,1,2,Project Beta,50
user16,2020-01-15,2020,1,1,Project Alpha,22
user17,2020-01-15,2020,1,7,Project Eta,64
user18,2020-01-15,2020,1,4,Project Delta,67
user19,2020-01-15,2020,1,7,Project Eta,106
user20,2020-01-15,2020,1,8,Project Theta,25
user22,2020-01-15,2020,1,6,Project Zeta,41
user23,2020-01-15,2020,1,8,Project Theta,207
user25,2020-01-15,2020,1,2,Project Beta,69
user27,2020-01-15,2020,1,4,Project Delta,98
user28,2020-01-15,2020,1,7,Project Eta,324
user30,2020-01-15,2020,1,6,Project Zeta,87
user31,2020-01-15,2020,1,2,Project Beta,109
user33,2020-01-15,2020,1,6,Project Zeta,181
user35,2020-01-15,2020,1,1,Project Alpha,14
user37,2020-01-15,2020,1,1,Project Alpha,114
user38,2020-01-15,2020,1,10,Project Kappa,83
user39,2020-01-15,2020,1,8,Project Theta,192
user40,2020-01-15,2020,1,1,Project Alpha,75
user41,2020-01-15,2020,1,8,Project Theta,44
user42,2020-01-15,2020,1,5,Project Epsilon,155
user43,2020-01-15,2020,1,6,Project Zeta,112
user45,2020-01-15,2020,1,9,Project Iota,59
user46,2020-01-15,2020,1,5,Project Epsilon,103
user47,2020-01-15,2020,1,4,Project Delta,319
user48,2020-01-15,2020,1,4,Project Delta,185
user49,2020-01-15,2020,1,10,Project Kappa,295
user50,2020-01-15,2020,1,10,Project Kappa,17
user1,2020-01-16,2020,1,3,Project Gamma,257
user2,2020-01-16,2020,1,9,Project Iota,80
user3,2020-01-16,2020,1,6,Project Zeta,29
user5,2020-01-16,2020,1,1,Project Alpha,156
user6,2020-01-16,2020,1,1,Project Alpha,227
user7,2020-01-16,2020,1,8,Project Theta,18
user8,2020-01-16,2020,1,7,Project Eta,38
user9,2020-01-16,2020,1,5,Project Epsilon,20
user10,2020-01-16,2020,1,5,Project Epsilon,202
user11,2020-01-16,2020,1,1,Project Alpha,110
user13,2020-01-16,2020,1,4,Project Delta,20
user15,2020-01-16,2020,1,4,Project Delta,259
user17,2020-01-16,2020,1,2,Project Beta,86
user18,2020-01-16,2020,1,2,Project Beta,79
user19,2020-01-16,2020,1,9,Project Iota,29
user20,2020-01-16,2020,1,2,Project Beta,257
user21,2020-01-16,2020,1,8,Project Theta,240
user22,2020-01-16,2020,1,2,Project Beta,151
user25,2020-01-16,2020,1,6,Project Zeta,58
