ds,yhat,projectname
2025-07-01,633.7085753679276,Project Gamma
2025-08-01,633.7248280644417,Project Gamma
2025-09-01,633.7294788360596,Project Gamma
2025-10-01,633.7301789522171,Project Gamma
2025-11-01,633.7300289273262,Project Gamma
2025-12-01,633.7266783714294,Project Gamma
2025-01-01,568.8565656542778,Project Iota
2025-02-01,573.2372424602509,Project Iota
2025-03-01,576.1910825371742,Project Iota
2025-04-01,577.4375393390656,Project Iota
2025-05-01,577.8100011348724,Project Iota
2025-06-01,577.8473573327065,Project Iota
2025-07-01,577.8021498322487,Project Iota
2025-08-01,577.7631933689117,Project Iota
2025-09-01,577.7430900335312,Project Iota
2025-10-01,577.7359888553619,Project Iota
2025-11-01,577.7349886894226,Project Iota
2025-12-01,577.7369390130043,Project Iota
2025-01-01,589.2854050397873,Project Kappa
2025-02-01,589.2151933908463,Project Kappa
2025-03-01,588.8658354282379,Project Kappa
2025-04-01,588.7973740696907,Project Kappa
2025-05-01,588.8050753474236,Project Kappa
2025-06-01,588.8269289731979,Project Kappa
2025-07-01,588.8438317775726,Project Kappa
2025-08-01,588.853733420372,Project Kappa
2025-09-01,588.8595343828201,Project Kappa
2025-10-01,588.8628849387169,Project Kappa
2025-11-01,588.8636850714684,Project Kappa
2025-12-01,588.8634350299835,Project Kappa
2025-01-01,561.6768494546413,Project Lambda
2025-02-01,558.1819446086884,Project Lambda
2025-03-01,557.033429056406,Project Lambda
2025-04-01,556.7412305772305,Project Lambda
2025-05-01,556.7503070831299,Project Lambda
2025-06-01,556.8195435702801,Project Lambda
2025-07-01,556.8771531283855,Project Lambda
2025-08-01,556.9102086126804,Project Lambda
2025-09-01,556.9261112511158,Project Lambda
2025-10-01,556.9321122467518,Project Lambda
2025-11-01,556.9356878399849,Project Lambda
2025-12-01,556.9368130266666,Project Lambda
2025-01-01,567.6254613995552,Project Mu
2025-02-01,567.0744699835777,Project Mu
2025-03-01,566.2725369334221,Project Mu
2025-04-01,565.9663861393929,Project Mu
2025-05-01,565.8978247642517,Project Mu
2025-06-01,565.9114520251751,Project Mu
2025-07-01,565.9333056509495,Project Mu
2025-08-01,565.9475330114365,Project Mu
2025-09-01,565.9533839821815,Project Mu
2025-10-01,565.9549842476845,Project Mu
2025-11-01,565.9556093513966,Project Mu
2025-12-01,565.9539340734482,Project Mu
2025-01-01,579.8136085569859,Project Theta
2025-02-01,580.6897789239883,Project Theta
2025-03-01,581.0177083313465,Project Theta
2025-04-01,581.1816855370998,Project Theta
2025-05-01,581.2558978497982,Project Theta
2025-06-01,581.2907036244869,Project Theta
2025-07-01,581.3120321631432,Project Theta
2025-08-01,581.3178831338882,Project Theta
2025-09-01,581.3220838308334,Project Theta
2025-10-01,581.3236840963364,Project Theta
2025-11-01,581.3290599882603,Project Theta
2025-12-01,581.3256594240665,Project Theta
2025-01-01,558.7152580916882,Project Zeta
2025-02-01,550.6915768682957,Project Zeta
2025-03-01,545.4632094204426,Project Zeta
2025-04-01,543.3033010661602,Project Zeta
2025-05-01,542.6279890239239,Project Zeta
2025-06-01,542.5076190531254,Project Zeta
2025-07-01,542.5311729609966,Project Zeta
2025-08-01,542.5643784701824,Project Zeta
2025-09-01,542.581481307745,Project Zeta
2025-10-01,542.5869822204113,Project Zeta
2025-11-01,542.5875823199749,Project Zeta
2025-12-01,542.5871322453022,Project Zeta
